2026-08-05 11:47:58.134 [INFO] Temp file cleanup script started.
2026-08-05 11:47:58.134 [INFO] Mode: Rollback
2026-08-05 11:47:58.797 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-ChocolateyPackage.ps1
2026-08-05 11:47:58.806 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\UnInstall-ChocolateyZipPackage.ps1
2026-08-05 11:47:58.813 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Update-SessionEnvironment.ps1
2026-08-05 11:47:58.818 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Write-FunctionCallLogMessage.ps1
2026-08-05 11:47:58.827 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\choco.exe
2026-08-05 11:47:58.832 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\choco.exe.ignore
2026-08-05 11:47:58.837 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\chocolatey.exe
2026-08-05 11:47:58.841 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\chocolatey.exe.ignore
2026-08-05 11:47:58.846 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cinst.exe
2026-08-05 11:47:58.851 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cinst.exe.ignore
2026-08-05 11:47:58.855 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\clist.exe
2026-08-05 11:47:58.861 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\clist.exe.ignore
2026-08-05 11:47:58.868 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cpush.exe
2026-08-05 11:47:58.873 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cpush.exe.ignore
2026-08-05 11:47:58.878 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cuninst.exe
2026-08-05 11:47:58.883 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cuninst.exe.ignore
2026-08-05 11:47:58.883 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cup.exe
2026-08-05 11:47:58.883 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cup.exe.ignore
2026-08-05 11:47:58.883 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\RefreshEnv.cmd
2026-08-05 11:47:58.898 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.dll
2026-08-05 11:47:58.898 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.dll.manifest
2026-08-05 11:47:58.914 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.exe
2026-08-05 11:47:58.914 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.exe.ignore
2026-08-05 11:47:58.914 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.exe.manifest
2026-08-05 11:47:58.930 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7zip.license.txt
2026-08-05 11:47:58.930 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\checksum.exe
2026-08-05 11:47:58.930 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\checksum.exe.config
2026-08-05 11:47:58.944 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\checksum.exe.ignore
2026-08-05 11:47:58.946 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\checksum.license.txt
2026-08-05 11:47:58.946 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\shimgen.exe
2026-08-05 11:47:58.946 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\shimgen.exe.ignore
2026-08-05 11:47:58.962 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\shimgen.license.txt
2026-08-05 11:47:58.962 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\_rels\.rels
2026-08-05 11:47:58.962 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\vscode.install\1.131.0\install.log
2026-08-05 11:47:58.978 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\vscode.install\1.131.0\VSCodeSetup-x64-1.131.0.exe
2026-08-05 11:47:58.978 [INFO] Cleanup run complete.
2026-08-05 11:47:58.978 [INFO] Scanned items: 98
2026-08-05 11:47:58.978 [INFO] Eligible items: 0
2026-08-05 11:47:58.978 [INFO] Files deleted or restored: 98
2026-08-05 11:47:58.978 [INFO] Locked or in-use items skipped: 0
2026-08-05 11:47:58.978 [INFO] Missing or unavailable items skipped: 0
2026-08-05 11:47:58.978 [INFO] Errors: 0
